chrom,scenario,seed,priv_pca_count,priv_geo_count
6,closest10kgeo,9,,21.0
6,closest10kgeo,10,,21.0
6,uniformgeo,1,,6.0
6,uniformgeo,2,,8.0
6,uniformgeo,3,,8.0
6,uniformgeo,4,,7.0
6,uniformgeo,5,,3.0
6,uniformgeo,6,,5.0
6,uniformgeo,7,,6.0
6,uniformgeo,8,,8.0
6,uniformgeo,9,,6.0
6,uniformgeo,10,,8.0
7,uniform,1,132.0,
7,uniform,2,115.0,
7,uniform,3,125.0,
7,uniform,4,142.0,
7,uniform,5,114.0,
7,uniform,6,141.0,
7,uniform,7,122.0,
7,uniform,8,130.0,
7,uniform,9,127.0,
7,uniform,10,128.0,
7,5epsilonpca,1,132.0,
7,5epsilonpca,2,141.0,
7,5epsilonpca,3,130.0,
7,5epsilonpca,4,118.0,
7,5epsilonpca,5,147.0,
7,5epsilonpca,6,131.0,
7,5epsilonpca,7,129.0,
7,5epsilonpca,8,147.0,
7,5epsilonpca,9,143.0,
7,5epsilonpca,10,124.0,
7,10epsilonpca,1,135.0,
7,10epsilonpca,2,133.0,
7,10epsilonpca,3,127.0,
7,10epsilonpca,4,125.0,
7,10epsilonpca,5,131.0,
7,10epsilonpca,6,125.0,
7,10epsilonpca,7,135.0,
7,10epsilonpca,8,131.0,
7,10epsilonpca,9,138.0,
7,10epsilonpca,10,131.0,
7,50epsilonpca,1,128.0,
7,50epsilonpca,2,111.0,
7,50epsilonpca,3,118.0,
7,50epsilonpca,4,145.0,
7,50epsilonpca,5,145.0,
7,50epsilonpca,6,136.0,
7,50epsilonpca,7,133.0,
7,50epsilonpca,8,144.0,
7,50epsilonpca,9,114.0,
7,50epsilonpca,10,134.0,
7,100epsilonpca,1,129.0,
7,100epsilonpca,2,129.0,
7,100epsilonpca,3,138.0,
7,100epsilonpca,4,116.0,
7,100epsilonpca,5,109.0,
7,100epsilonpca,6,138.0,
7,100epsilonpca,7,129.0,
7,100epsilonpca,8,137.0,
7,100epsilonpca,9,127.0,
7,100epsilonpca,10,132.0,
7,closest10kpca,1,182.0,
7,closest10kpca,2,182.0,
7,closest10kpca,3,182.0,
7,closest10kpca,4,182.0,
7,closest10kpca,5,182.0,
7,closest10kpca,6,182.0,
7,closest10kpca,7,182.0,
7,closest10kpca,8,182.0,
7,closest10kpca,9,182.0,
7,closest10kpca,10,182.0,
7,5epsilongeo,1,,25.0
7,5epsilongeo,2,,21.0
7,5epsilongeo,3,,26.0
7,5epsilongeo,4,,22.0
7,5epsilongeo,5,,21.0
7,5epsilongeo,6,,29.0
7,5epsilongeo,7,,23.0
7,5epsilongeo,8,,25.0
7,5epsilongeo,9,,28.0
7,5epsilongeo,10,,22.0
7,10epsilongeo,1,,15.0
7,10epsilongeo,2,,16.0
7,10epsilongeo,3,,13.0
7,10epsilongeo,4,,16.0
7,10epsilongeo,5,,14.0
7,10epsilongeo,6,,11.0
7,10epsilongeo,7,,18.0
7,10epsilongeo,8,,12.0
7,10epsilongeo,9,,11.0
7,10epsilongeo,10,,13.0
7,50epsilongeo,1,,8.0
7,50epsilongeo,2,,4.0
7,50epsilongeo,3,,8.0
7,50epsilongeo,4,,7.0
7,50epsilongeo,5,,5.0
7,50epsilongeo,6,,6.0
7,50epsilongeo,7,,5.0
7,50epsilongeo,8,,7.0
7,50epsilongeo,9,,7.0
7,50epsilongeo,10,,8.0
7,closest10kgeo,1,,25.0
7,closest10kgeo,2,,25.0
7,closest10kgeo,3,,25.0
7,closest10kgeo,4,,25.0
7,closest10kgeo,5,,25.0
7,closest10kgeo,6,,25.0
7,closest10kgeo,7,,25.0
7,closest10kgeo,8,,25.0
7,closest10kgeo,9,,25.0
7,closest10kgeo,10,,25.0
7,uniformgeo,1,,7.0
7,uniformgeo,2,,4.0
7,uniformgeo,3,,3.0
7,uniformgeo,4,,7.0
7,uniformgeo,5,,8.0
7,uniformgeo,6,,2.0
7,uniformgeo,7,,6.0
7,uniformgeo,8,,9.0
7,uniformgeo,9,,6.0
7,uniformgeo,10,,9.0
8,uniform,1,77.0,
8,uniform,2,102.0,
8,uniform,3,84.0,
8,uniform,4,78.0,
8,uniform,5,94.0,
8,uniform,6,103.0,
8,uniform,7,99.0,
8,uniform,8,84.0,
8,uniform,9,90.0,
8,uniform,10,103.0,
8,5epsilonpca,1,93.0,
8,5epsilonpca,2,103.0,
8,5epsilonpca,3,106.0,
8,5epsilonpca,4,82.0,
8,5epsilonpca,5,95.0,
8,5epsilonpca,6,82.0,
8,5epsilonpca,7,102.0,
8,5epsilonpca,8,97.0,
8,5epsilonpca,9,84.0,
8,5epsilonpca,10,98.0,
8,10epsilonpca,1,87.0,
8,10epsilonpca,2,86.0,
8,10epsilonpca,3,99.0,
8,10epsilonpca,4,100.0,
8,10epsilonpca,5,103.0,
