sigma,rho,s,w,mu,logl
20.0,2.49,0.007278953843983146,multi,1.25e-08,-7104.004915792633
11.0,2.49,0.006210169418915616,multi,1.25e-08,-7104.783170751985
8.0,3.17,0.005298316906283708,multi,1.25e-08,-7105.487302450618
10.0,4.2,0.007278953843983146,multi,1.25e-08,-7107.885981398955
12.0,2.15,0.0038566204211634724,multi,1.25e-08,-7114.1039762629225
14.0,3.51,0.007278953843983146,multi,1.25e-08,-7115.613493546414
6.0,6.24,0.006210169418915616,multi,1.25e-08,-7126.935281900744
27.0,0.78,0.006210169418915616,multi,1.25e-08,-7127.366714703027
5.0,5.9,0.005298316906283708,multi,1.25e-08,-7131.521903023772
12.0,2.83,0.007278953843983146,multi,1.25e-08,-7134.366719475694
23.0,1.12,0.0038566204211634724,multi,1.25e-08,-7134.491285818143
11.0,3.51,0.004520353656360241,multi,1.25e-08,-7141.281441163994
6.0,6.24,0.005298316906283708,multi,1.25e-08,-7143.53535718248
11.0,3.17,0.007278953843983146,multi,1.25e-08,-7149.979275150883
15.0,3.51,0.006210169418915616,multi,1.25e-08,-7159.781191314834
23.0,2.15,0.007278953843983146,multi,1.25e-08,-7160.454196729112
7.0,5.9,0.005298316906283708,multi,1.25e-08,-7161.056668938676
11.0,4.2,0.007278953843983146,multi,1.25e-08,-7162.763675073138
