sigma,rho,s,w,mu,logl
12.0,1.806896551724138,0.005298316906283708,multi,1.25e-08,-920.6741298011239
28.0,0.7827586206896552,0.005298316906283708,multi,1.25e-08,-927.3461966134552
12.0,1.4655172413793105,0.006210169418915616,multi,1.25e-08,-931.0775108049538
24.0,0.7827586206896552,0.004520353656360241,multi,1.25e-08,-935.8793608907858
14.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-936.6619574386436
6.0,2.4896551724137934,0.005298316906283708,multi,1.25e-08,-944.9679719411427
11.0,0.7827586206896552,0.0038566204211634724,multi,1.25e-08,-946.2000585880742
8.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-947.1314568933763
6.0,2.4896551724137934,0.004520353656360241,multi,1.25e-08,-959.0202226917577
18.0,1.124137931034483,0.006210169418915616,multi,1.25e-08,-961.1906088670527
25.0,0.4413793103448276,0.0038566204211634724,multi,1.25e-08,-962.6424236449375
5.0,2.148275862068966,0.004520353656360241,multi,1.25e-08,-970.4792478939053
26.0,0.7827586206896552,0.006210169418915616,multi,1.25e-08,-971.2982135048594
5.0,2.4896551724137934,0.004520353656360241,multi,1.25e-08,-973.8066596191661
18.0,1.124137931034483,0.004520353656360241,multi,1.25e-08,-975.0072429138968
11.0,1.806896551724138,0.004520353656360241,multi,1.25e-08,-975.1908665560438
15.0,0.7827586206896552,0.0038566204211634724,multi,1.25e-08,-977.8265807991218
9.0,1.4655172413793105,0.006210169418915616,multi,1.25e-08,-977.9844957881807
5.0,2.148275862068966,0.005298316906283708,multi,1.25e-08,-978.4036530893713
7.0,2.4896551724137934,0.005298316906283708,multi,1.25e-08,-982.0687262441089
14.0,1.4655172413793105,0.004520353656360241,multi,1.25e-08,-983.083826818531
5.0,2.4896551724137934,0.005298316906283708,multi,1.25e-08,-985.1930181764213
16.0,1.4655172413793105,0.005298316906283708,multi,1.25e-08,-989.7383664430084
13.0,1.4655172413793105,0.006210169418915616,multi,1.25e-08,-997.7264842430394
