w,m,n,p,q,tc,coef_input_vals,error_vals_all,error_next,rel_err,pole,residue,multiplicity_pole,pole_2,res_2,remainder,k
0.0533669923120631,0,1,[0.3565223 1.       ],[1.],"[1.0, 0.3565222995831195, 0.0]","[1, 0.3565222995831195, 0.1353945393545126]","[0.0, 0.0, 0.1353945393545126]",0.1353945393545126,1.0,,,,,,,
0.0533669923120631,1,0,[1.],[-0.3565223  1.       ],"[1.0, 0.3565222995831195, 0.1271081501000356]","[1, 0.3565222995831195, 0.1353945393545126]","[0.0, 0.0, 0.008286389254477]",0.008286389254477,0.061201798048739556,2.804873639515108,-2.804873639515108,[1],,,0.0,[]
0.0585702081805666,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.3491241126136038, 0.1300036609698804]","[0.0, 0.3491241126136038, 0.1300036609698804]",0.3491241126136038,1.0,,,,,,,
0.0585702081805666,0,1,[0.34912411 1.        ],[1.],"[1.0, 0.3491241126136038, 0.0]","[1, 0.3491241126136038, 0.1300036609698804]","[0.0, 0.0, 0.1300036609698804]",0.1300036609698804,1.0,,,,,,,
0.0585702081805666,1,0,[1.],[-0.34912411  1.        ],"[1.0, 0.3491241126136038, 0.12188764600823632]","[1, 0.3491241126136038, 0.1300036609698804]","[0.0, 0.0, 0.008116014961644075]",0.008116014961644075,0.06242912623456362,2.864310896528533,-2.864310896528533,[1],,,0.0,[]
0.0642807311728432,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.3417268589482709, 0.1247247442062948]","[0.0, 0.3417268589482709, 0.1247247442062948]",0.3417268589482709,1.0,,,,,,,
0.0642807311728432,0,1,[0.34172686 1.        ],[1.],"[1.0, 0.3417268589482709, 0.0]","[1, 0.3417268589482709, 0.1247247442062948]","[0.0, 0.0, 0.1247247442062948]",0.1247247442062948,1.0,,,,,,,
0.0642807311728432,1,0,[1.],[-0.34172686  1.        ],"[1.0, 0.3417268589482709, 0.11677724612665141]","[1, 0.3417268589482709, 0.1247247442062948]","[0.0, 0.0, 0.007947498079643386]",0.007947498079643386,0.06372029969047859,2.9263137321944472,-2.9263137321944472,[1],,,0.0,[]
0.0705480231071864,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.3343307020481539, 0.1195583926552116]","[0.0, 0.3343307020481539, 0.1195583926552116]",0.3343307020481539,1.0,,,,,,,
0.0705480231071864,0,1,[0.3343307 1.       ],[1.],"[1.0, 0.3343307020481539, 0.0]","[1, 0.3343307020481539, 0.1195583926552116]","[0.0, 0.0, 0.1195583926552116]",0.1195583926552116,1.0,,,,,,,
0.0705480231071864,1,0,[1.],[-0.3343307  1.       ],"[1.0, 0.3343307020481539, 0.11177701833201147]","[1, 0.3343307020481539, 0.1195583926552116]","[0.0, 0.0, 0.007781374323200141]",0.007781374323200141,0.06508430023511985,2.9910504595416105,-2.9910504595416105,[1],,,0.0,[]
0.0774263682681127,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.326935833748163, 0.1144959306893804]","[0.0, 0.326935833748163, 0.1144959306893804]",0.326935833748163,1.0,,,,,,,
0.0774263682681127,0,1,[0.32693583 1.        ],[1.],"[1.0, 0.326935833748163, 0.0]","[1, 0.326935833748163, 0.1144959306893804]","[0.0, 0.0, 0.1144959306893804]",0.1144959306893804,1.0,,,,,,,
0.0774263682681127,1,0,[1.],[-0.32693583  1.        ],"[1.0, 0.326935833748163, 0.10688703938860647]","[1, 0.326935833748163, 0.1144959306893804]","[0.0, 0.0, 0.007608891300773926]",0.007608891300773926,0.06645556095278465,3.058704176093144,-3.058704176093144,[1],,,0.0,[]
0.0849753435908644,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.319542478422072, 0.109545643794132]","[0.0, 0.319542478422072, 0.109545643794132]",0.319542478422072,1.0,,,,,,,
0.0849753435908644,0,1,[0.31954248 1.        ],[1.],"[1.0, 0.319542478422072, 0.0]","[1, 0.319542478422072, 0.109545643794132]","[0.0, 0.0, 0.109545643794132]",0.109545643794132,1.0,,,,,,,
0.0849753435908644,1,0,[1.],[-0.31954248  1.        ],"[1.0, 0.319542478422072, 0.10210739551612036]","[1, 0.319542478422072, 0.109545643794132]","[0.0, 0.0, 0.007438248278011636]",0.007438248278011636,0.06790090432067075,3.1294743814283636,-3.1294743814283636,[1],,,0.0,[]
0.093260334688322,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.3121508983638912, 0.1047055667191622]","[0.0, 0.3121508983638912, 0.1047055667191622]",0.3121508983638912,1.0,,,,,,,
0.093260334688322,0,1,[0.3121509 1.       ],[1.],"[1.0, 0.3121508983638912, 0.0]","[1, 0.3121508983638912, 0.1047055667191622]","[0.0, 0.0, 0.1047055667191622]",0.1047055667191622,1.0,,,,,,,
0.093260334688322,1,0,[1.],[-0.3121509  1.       ],"[1.0, 0.3121508983638912, 0.09743818334938434]","[1, 0.3121508983638912, 0.1047055667191622]","[0.0, 0.0, 0.007267383369777863]",0.007267383369777863,0.06940780320945301,3.2035787987201174,-3.2035787987201174,[1],,,0.0,[]
0.1023531021899026,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.3047614005915244, 0.0999745001575856]","[0.0, 0.3047614005915244, 0.0999745001575856]",0.3047614005915244,1.0,,,,,,,
0.1023531021899026,0,1,[0.3047614 1.       ],[1.],"[1.0, 0.3047614005915244, 0.0]","[1, 0.3047614005915244, 0.0999745001575856]","[0.0, 0.0, 0.0999745001575856]",0.0999745001575856,1.0,,,,,,,
0.1023531021899026,1,0,[1.],[-0.3047614  1.       ],"[1.0, 0.3047614005915244, 0.09287951129050762]","[1, 0.3047614005915244, 0.0999745001575856]","[0.0, 0.0, 0.007094988867077989]",0.007094988867077989,0.07096798539522034,3.281255428210585,-3.281255428210585,[1],,,0.0,[]
0.1123324032978027,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.2973743427461334, 0.0953546668154718]","[0.0, 0.2973743427461334, 0.0953546668154718]",0.2973743427461334,1.0,,,,,,,
0.1123324032978027,0,1,[0.29737434 1.        ],[1.],"[1.0, 0.2973743427461334, 0.0]","[1, 0.2973743427461334, 0.0953546668154718]","[0.0, 0.0, 0.0953546668154718]",0.0953546668154718,1.0,,,,,,,
0.1123324032978027,1,0,[1.],[-0.29737434  1.        ],"[1.0, 0.2973743427461334, 0.08843149972369482]","[1, 0.2973743427461334, 0.0953546668154718]","[0.0, 0.0, 0.006923167091776983]",0.006923167091776983,0.07260438658104211,3.362764893451799,-3.362764893451799,[1],,,0.0,[]
0.1232846739442066,0,0,[1.],[1.],"[1.0, 0.0, 0.0]","[1, 0.2899901420082654, 0.0908463634301058]","[0.0, 0.2899901420082654, 0.0908463634301058]",0.2899901420082654,1.0,,,,,,,
0.1232846739442066,0,1,[0.28999014 1.        ],[1.],"[1.0, 0.2899901420082654, 0.0]","[1, 0.2899901420082654, 0.0908463634301058]","[0.0, 0.0, 0.0908463634301058]",0.0908463634301058,1.0,,,,,,,
